Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Albania,41.1533,20.1683,2020-02-28,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-27,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-26,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-25,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-24,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-23,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-22,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-21,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-20,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-19,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-18,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-17,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-16,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-15,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-14,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-13,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-12,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-11,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-10,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-09,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-08,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-07,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-06,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-05,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-04,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-03,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-02,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-02-01,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-31,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-30,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-29,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-28,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-27,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-26,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-25,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-24,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-23,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-22,0,ALB,150,39,
,Algeria,28.0339,1.6596,2020-05-03,4474,DZA,2,15,
,Algeria,28.0339,1.6596,2020-05-02,4295,DZA,2,15,
,Algeria,28.0339,1.6596,2020-05-01,4154,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-30,4006,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-29,3848,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-28,3649,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-27,3517,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-26,3382,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-25,3256,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-24,3127,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-23,3007,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-22,2910,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-21,2811,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-20,2718,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-19,2629,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-18,2534,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-17,2418,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-16,2268,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-15,2160,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-14,2070,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-13,1983,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-12,1914,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-11,1825,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-10,1761,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-09,1666,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-08,1572,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-07,1468,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-06,1423,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-05,1320,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-04,1251,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-03,1171,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-02,986,DZA,2,15,
