Date,unem_rate,industrial_production_index,manufacturers_new_orders,purchase_house_price_index,construction_spending,retail_sales
2/1/04,6,96.2589,333072,183.31,64138,253689
3/1/04,6,96.6183,384320,185.22,73238,287944
4/1/04,5.4,94.8371,348254,187.38,78354,284325
5/1/04,5.3,96.3792,351857,190.04,83736,296253
6/1/04,5.8,98.5806,373020,192.61,89932,289664
7/1/04,5.7,95.4028,331914,194.23,93614,294875
8/1/04,5.4,98.9902,363368,195.45,96164,294133
9/1/04,5.1,98.3802,374274,196.59,92538,282974
10/1/04,5.1,98.573,370096,197.44,90582,287468
11/1/04,5.2,97.6279,367311,198.6,86394,294278
12/1/04,5.1,98.0015,376047,199.58,77733,354627
1/1/05,5.7,98.2289,348438,200.32,72458,263469
2/1/05,5.8,99.4614,361395,202.04,73094,265320
3/1/05,5.4,99.9565,403840,204.88,81791,306384
4/1/05,4.9,99.2084,379714,207.42,88032,302054
5/1/05,4.9,99.5525,400414,210.18,93704,311292
6/1/05,5.2,102.9842,422690,212.63,100678,317375
7/1/05,5.2,99.0742,359709,214.62,103875,316887
8/1/05,4.9,102.6167,416547,216.14,107453,321409
9/1/05,4.8,100.1392,418716,217.58,104682,300439
10/1/05,4.6,100.2352,415437,218.12,104039,302213
11/1/05,4.8,100.0704,413948,218.66,98348,311715
12/1/05,4.6,100.5799,423184,219.22,88657,370726
1/1/06,5.1,99.9028,384291,219.76,82400,286152
2/1/06,5.1,100.7886,395142,220.74,82381,282417
3/1/06,4.8,102.1181,460884,222.4,92354,326153
4/1/06,4.5,100.1333,406834,223.85,97056,316526
5/1/06,4.4,101.6305,435162,225.62,101862,337393
6/1/06,4.8,105.0911,453341,226.32,106777,330844
7/1/06,5,101.8612,393870,226.21,107150,325905
8/1/06,4.6,105.2965,436786,226.61,108598,339155
9/1/06,4.4,104.3196,446257,225.93,103102,310775
10/1/06,4.1,103.0231,424408,225.61,100721,312976
11/1/06,4.3,101.8533,417682,225.29,93850,323089
12/1/06,4.3,102.8906,434989,224.55,85031,380188
1/1/07,5,101.7402,397223,224.33,79009,295284
2/1/07,4.9,103.3257,402645,224.94,78501,290065
3/1/07,4.5,104.4967,466820,226.91,87421,335917
4/1/07,4.3,103.5013,438725,227.97,93644,321981
5/1/07,4.3,104.5625,457369,228.31,99690,353201
6/1/07,4.7,107.6791,470337,228.27,105020,338189
7/1/07,4.9,104.2692,432449,226.94,106779,333815
8/1/07,4.6,107.7355,470178,225.76,109573,349191
9/1/07,4.5,107.2204,453904,224.09,104744,317145
10/1/07,4.4,105.3873,471055,221.8,104313,331073
11/1/07,4.5,104.9072,456640,219.47,94934,341848
12/1/07,4.8,104.9109,479682,217.29,84325,387473
1/1/08,5.4,104.0921,444418,214.23,78039,307634
2/1/08,5.2,103.9701,452902,213.81,77921,308216
3/1/08,5.2,104.3638,490053,212.5,83384,334430
4/1/08,4.8,102.8907,474842,211.53,89092,331006
5/1/08,5.2,102.678,490175,210.61,93316,357288
6/1/08,5.7,105.5516,510554,210.14,97882,339773
7/1/08,6,102.5579,473394,207.98,100234,344118
8/1/08,6.1,103.3784,477080,205.78,100366,342430
9/1/08,6,98.2741,463273,203.24,97303,313325
10/1/08,6.1,97.8016,430235,200.78,96609,311458
11/1/08,6.5,95.7872,367884,196.59,86093,299264
12/1/08,7.1,93.6435,377314,194.91,77112,346563
1/1/09,8.5,90.9851,317022,195.75,67301,274078
2/1/09,8.9,90.2846,315064,196.66,67030,264541
3/1/09,9,89.3215,353745,194.9,71985,290109
4/1/09,8.6,86.761,328267,195.13,75043,292053
5/1/09,9.1,86.9534,341003,196.26,76661,307520
6/1/09,9.7,89.228,364677,197.1,82089,306083
7/1/09,9.7,88.4336,343795,196.32,83885,308880
8/1/09,9.6,91.5322,361826,195.56,84426,314584
9/1/09,9.5,90.7942,373526,194.57,82037,288129
10/1/09,9.5,90.2406,373328,194.7,79952,300381
11/1/09,9.4,89.9515,354209,194.38,71527,303872
12/1/09,9.7,90.7359,379275,190.99,64608,362717
1/1/10,10.6,91.5884,359566,190.15,55362,279126
2/1/10,10.4,91.6949,364479,189.6,54986,275661
3/1/10,10.2,92.8555,425927,190.29,60990,321442
4/1/10,9.5,91.7857,403901,191.99,66565,317064
5/1/10,9.3,93.7489,404256,193.86,68903,324924
6/1/10,9.6,96.7767,423507,192.69,74806,319252
7/1/10,9.7,94.9923,391315,191.25,73918,321002
8/1/10,9.5,97.7219,417979,190.45,76554,322370
9/1/10,9.2,96.682,437237,187.96,75818,307705
10/1/10,9,95.5267,419080,187.64,73386,315062
11/1/10,9.3,94.6812,411684,186.34,67318,328361
12/1/10,9.1,96.1346,436968,183.52,60648,386872
