price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
13698,toyota, Auris,2017,Automatic,14252,Hybrid,0,78.5,1.8
20272,vw, Polo,2019,Semi-Auto,5000,Petrol,145,39.8,2.0
17480,merc, GLA Class,2016,Semi-Auto,21011,Diesel,125,56.6,2.1
13499,hyundi, Tucson,2016,Automatic,42597,Diesel,200,47.1,2.0
8699,vauxhall, Astra,2016,Manual,23781,Petrol,20,64.2,1.0
12899,ford, Fiesta,2018,Manual,10591,Petrol,145,58.9,1.0
10500,vw, Polo,2016,Manual,16473,Petrol,20,60.1,1.2
14800,bmw, 4 Series,2015,Automatic,33627,Diesel,145,56.5,2.0
6774,ford, Fiesta,2013,Manual,36313,Petrol,0,65.7,1.0
20990,merc, C Class,2016,Semi-Auto,14704,Petrol,150,49.6,2.0
10500,toyota, Yaris,2016,Automatic,33307,Hybrid,0,86.0,1.5
21750,merc, GLA Class,2019,Semi-Auto,6586,Petrol,150,44.8,1.6
25995,vw, Tiguan,2017,Semi-Auto,18170,Diesel,145,49.6,2.0
10798,vauxhall, Zafira,2017,Manual,26231,Petrol,200,41.5,1.4
6990,vauxhall, Viva,2018,Manual,9983,Petrol,150,46.3,1.0
44935,toyota, Land Cruiser,2019,Semi-Auto,15200,Diesel,145,30.1,2.8
13995,skoda, Yeti,2016,Manual,8439,Diesel,30,62.8,2.0
10000,vw, Polo,2017,Manual,13263,Petrol,20,58.9,1.0
18190,vw, Tiguan,2017,Manual,24662,Petrol,145,48.7,1.4
30990,audi, A6,2019,Automatic,2200,Diesel,145,47.9,2.0
9498,vw, Polo,2016,Manual,21826,Petrol,20,60.1,1.2
10700,ford, Focus,2018,Manual,22749,Petrol,145,60.1,1.0
13999,skoda, Yeti Outdoor,2017,Semi-Auto,26067,Petrol,125,51.4,1.2
17200,merc, A Class,2017,Automatic,23593,Petrol,145,53.3,1.6
23980,toyota, GT86,2019,Manual,1751,Petrol,145,33.2,2.0
1500,vauxhall, Astra,2009,Manual,110000,Petrol,200,43.5,1.6
