price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
42795,bmw, X3,2019,Semi-Auto,999,Diesel,145,48.7,3.0
25900,bmw, 3 Series,2019,Semi-Auto,8010,Petrol,145,45.6,2.0
15500,merc, A Class,2015,Automatic,20275,Petrol,125,53.3,1.6
30000,audi, A6,2020,Automatic,893,Diesel,145,47.9,2.0
11995,bmw, X1,2013,Semi-Auto,64637,Diesel,160,51.4,2.0
20990,audi, Q2,2017,Semi-Auto,31690,Petrol,125,52.3,1.4
32989,bmw, Z4,2019,Semi-Auto,6000,Petrol,145,38.7,2.0
3950,bmw, Z3,1999,Manual,58000,Petrol,270,35.3,1.9
23995,audi, A3,2019,Manual,2085,Diesel,145,51.4,1.6
28995,audi, A5,2019,Automatic,4199,Petrol,145,39.8,2.0
26444,audi, Q2,2019,Manual,975,Petrol,145,43.5,1.5
31500,audi, A4,2018,Semi-Auto,16600,Petrol,145,38.7,3.0
1975,audi, A3,2005,Manual,104000,Petrol,240,38.1,2.0
19242,audi, Q3,2017,Semi-Auto,19416,Petrol,145,47.9,1.4
24450,bmw, 1 Series,2019,Manual,10,Petrol,145,41.5,1.5
39290,merc, C Class,2019,Semi-Auto,4651,Petrol,145,30.4,3.0
35980,merc, E Class,2019,Semi-Auto,9,Diesel,145,45.6,2.0
2350,bmw, 3 Series,2002,Manual,99000,Petrol,325,30.1,2.2
22950,audi, A4,2017,Automatic,30195,Diesel,145,54.3,3.0
20998,bmw, 1 Series,2017,Semi-Auto,19479,Petrol,200,39.8,3.0
30661,audi, A4,2018,Semi-Auto,31850,Petrol,145,36.7,3.0
20998,bmw, X1,2016,Semi-Auto,26821,Petrol,160,44.8,2.0
26950,bmw, X1,2019,Semi-Auto,4269,Diesel,145,60.1,2.0
38782,merc, V Class,2018,Semi-Auto,15640,Diesel,145,45.6,2.2
24789,merc, C Class,2019,Automatic,428,Petrol,145,44.1,1.5
32000,audi, A6,2019,Automatic,4432,Diesel,145,47.9,2.0
24099,merc, B Class,2019,Semi-Auto,1010,Diesel,145,60.1,1.5
25330,bmw, 3 Series,2019,Semi-Auto,2307,Diesel,145,65.7,2.0
